gid,sub_code,namt,name,location_t,location_e,version,sourcethm,icon_url
"188","47010",โรงเรียนโพธิมงคล,PHOTHI MONGKHON SCHOOL,ทางหลวงแผ่นดินหมายเลข 1317,HIGHWAY 1317,"1",Schools_landmark,./0.png
"189","47010",โรงเรียนวัดดอนจั่น,WAT DON CHAN SCHOOL,ทางหลวงแผ่นดินหมายเลข 11,HIGHWAY 11,"1",Schools_landmark,./0.png
"190","47010",โรงเรียนวัดมะฮกฟ้า,WAT MAHOK FA SCHOOL,ถนนโยธาธิการ ชม. (สันมะฮกฟ้า-สันป่าค่า),YOTHATHIKAN CHIANG MAI RD. (SAN MA HOK FA-SAN PA KHA),"1",Schools_landmark,./0.png
"191","47020",โรงเรียนเทคโนโลยีเอเชีย,ASIA TECHNOLOGY SCHOOL,ถนนเมืองเชียงใหม่ด้านใต้,MUEANG CHIANG MAI DAN TAI RD.,"1",Schools_landmark,./0.png
"192","47010",โรงเรียนวัดเสาหิน,WAT SAO HIN SCHOOL,ซอยมหิดล 6,SOI MAHIDON 6,"1",Schools_landmark,./0.png
"193","47010",โรงเรียนวัดสันป่าค่า,WAT SAN PA KHA SCHOOL,ถนนโยธาธิการ ชม. (สันมะฮกฟ้า-สันป่าค่า),YOTHATHIKAN CHIANG MAI RD. (SAN MA HOK FA-SAN PA KHA),"1",Schools_landmark,./0.png
"194","47010",โรงเรียนวัดป่าแดด,WAT PA DAET SCHOOL,ซอยป่าแดดเหนือ 4,SOI PA DAET NUEA 4,"1",Schools_landmark,./0.png
"195","47010",โรงเรียนวัดเชียงขาง,WAT CHAING KHANG SCHOOL,,,"1",Schools_landmark,./0.png
"196","47010",โรงเรียนนานาชาติล้านนา,NANA INTERNATIONAL SCHOOL,ทางหลวงแผ่นดินหมายเลข 108,HIGHWAY 108,"1",Schools_landmark,./0.png
"197","47010",โรงเรียนศิริมังคลาจารย์,SIRI MANGKHALACHAN SCHOOL,ถนนรวมใจ,RUAM CHAI RD.,"1",Schools_landmark,./0.png
"198","47010",โรงเรียนบ้านแม่เหี้ยะสามัคคี,BAN MAE HIA SAMAKKHI SCHOOL,ถนนโยธาธิการ ชม. (หมู่ที่ 4 บ้านท่าข้าม-หมู่ที่ 1 ตำบลแม่เหี้ยะ),YOTHATHIKAN CHIANG MAI RD. (MU 4-BAN THA KHAM-MU 1 TAMBON MAE HIA),"1",Schools_landmark,./0.png
"199","47010",โรงเรียนวัดช้างค้ำ,WAT CHANG KHAM SCHOOL,,,"1",Schools_landmark,./0.png
"200","47010",โรงเรียนรัฐราษฎรบำรุง,RAT RAT BAMRUNG SCHOOL,ทางรถไฟสายเหนือ,NORTHERN RAILWAY,"1",Schools_landmark,./0.png
